#
# ABINIT package : DOS file
#
# nsppol = 1, nkpt = 1012, nband(1)=   7
# Smearing technique, occopt = 3, tsmear= 0.001 Hartree, tphysel= 0.000 Hartree
# For identification : eigen(1:3)=  -0.632  -0.443  -0.442
#
# Fermi energy :      -0.26524251
#
# The DOS (in electrons/Hartree/cell) and integrated DOS (in electrons/cell),
# as well as the DOS with tsmear halved and doubled, are computed,
# at  1101 energies (in Hartree) covering the interval
# between   -0.7000 and    0.4000 Hartree by steps of 0.00100 Hartree.
#
#    #   energy        DOS       Integr. DOS        DOS           DOS
#                                               (tsmear/2)    (tsmear*2)
  342  -0.358     45.494372      8.978102        46.480        45.616
  343  -0.357     43.041237      9.022272        38.727        46.090
  344  -0.356     42.896440      9.064987        38.720        46.958
  345  -0.355     45.507081      9.109008        44.345        48.355
  346  -0.354     49.278721      9.156382        49.914        50.198
  347  -0.353     52.867141      9.207496        53.482        52.275
  348  -0.352     55.462947      9.261794        59.164        54.404
  349  -0.351     56.248922      9.317789        57.142        56.553
  350  -0.350     56.259151      9.374021        54.798        58.858
  351  -0.349     57.808863      9.430822        52.471        61.493
  352  -0.348     62.813543      9.490818        57.407        64.446
  353  -0.347     70.794793      9.557493        71.565        67.382
  354  -0.346     77.353286      9.631939        88.992        69.739
  355  -0.345     78.556996      9.710309        80.538        71.033
  356  -0.344     76.905661      9.788120        76.524        71.080
  357  -0.343     74.745846      9.863987        75.750        69.957
  358  -0.342     71.721274      9.937314        73.813        67.842
  359  -0.341     68.039333     10.007195        65.368        64.914
  360  -0.340     64.289804     10.073421        68.835        61.340
  361  -0.339     58.589803     10.135081        61.458        57.315
  362  -0.338     51.634216     10.190144        47.446        53.102
  363  -0.337     46.756308     10.239085        42.207        48.955
  364  -0.336     44.400312     10.284533        44.631        44.980
  365  -0.335     42.143309     10.327915        45.962        41.107
  366  -0.334     37.821782     10.368092        40.356        37.240
  367  -0.333     32.327500     10.403142        29.190        33.389
  368  -0.332     28.231220     10.433249        24.764        29.643
  369  -0.331     25.553748     10.460113        29.025        26.067
  370  -0.330     22.123122     10.484063        21.950        22.682
  371  -0.329     17.838425     10.504079        19.461        19.551
  372  -0.328     13.353877     10.519656        11.273        16.827
  373  -0.327     10.209816     10.531236         5.988        14.680
  374  -0.326      9.784151     10.541007         6.611        13.165
  375  -0.325     11.436690     10.551516        11.504        12.132
  376  -0.324     12.977117     10.563844        16.784        11.283
  377  -0.323     12.305836     10.576701        15.517        10.357
  378  -0.322      9.685636     10.587786         9.251         9.280
  379  -0.321      6.936991     10.596042         5.378         8.169
  380  -0.320      5.225069     10.602017         3.366         7.210
  381  -0.319      4.666827     10.606888         4.250         6.539
  382  -0.318      4.556490     10.611495         5.067         6.209
  383  -0.317      4.538856     10.616019         3.431         6.215
  384  -0.316      5.046925     10.620755         4.356         6.526
  385  -0.315      6.236684     10.626339         5.170         7.067
  386  -0.314      8.090054     10.633456         7.580         7.705
  387  -0.313     10.051631     10.642564        11.567         8.257
  388  -0.312     11.003163     10.653215        13.509         8.552
  389  -0.311     10.432243     10.664047        11.475         8.508
  390  -0.310      8.996983     10.673791         8.814         8.169
  391  -0.309      7.514276     10.682031         7.014         7.665
  392  -0.308      6.356560     10.688932         5.851         7.153
  393  -0.307      5.525679     10.694855         5.483         6.766
  394  -0.306      4.967771     10.700068         4.085         6.599
  395  -0.305      5.034969     10.705000         3.810         6.698
  396  -0.304      6.003810     10.710443         4.739         7.038
  397  -0.303      7.669640     10.717249         8.060         7.515
  398  -0.302      9.236969     10.725745        10.151         7.969
  399  -0.301     10.097898     10.735486        11.521         8.247
  400  -0.300      9.909442     10.745586        11.456         8.266
  401  -0.299      8.842260     10.755003         8.610         8.044
  402  -0.298      7.602978     10.763220         7.392         7.680
  403  -0.297      6.569978     10.770278         6.087         7.300
  404  -0.296      6.019424     10.776520         4.772         7.006
  405  -0.295      6.106755     10.782539         5.995         6.851
  406  -0.294      6.348232     10.788784         7.020         6.837
  407  -0.293      6.333541     10.795140         6.390         6.953
  408  -0.292      6.387487     10.801470         5.332         7.186
  409  -0.291      7.116300     10.808146         5.770         7.503
  410  -0.290      8.611271     10.815971         8.375         7.817
  411  -0.289      9.938766     10.825322        12.696         7.996
  412  -0.288      9.676385     10.835299        12.545         7.953
  413  -0.287      7.896143     10.844143         6.737         7.716
